TBI (n),HC (n),WITHIN NETWORK FINDINGS,RESULT,TBI Class,Severity,Age,Chronicity,Comp Type,Control Type,Scanner,Eyes Open/Closed/Fixated,Scanning parameters (TR),OLD TIME OF SCAN,Duration of scan (s),# of volumes,Preprocessing Software,Global signal regression,Motion regression,White matter regression,CSF regression,,,,,,,,,,,,
26,25,Mayer (2011) University of New Mexico,"Decreased within-DMN FC (right SMG, superior frontal gyrus, rACC (for PCC seed), and PCC (for rACC seed))",CIVILIAN ER Patients,Mild,"ADULT CSX)n = 27, 27.15 +-7.38 years, 15 female  + Long) n = 15 ( 10F, 28.20 +-8.17 years)",Acute/Subacute (11.5 += 5.3 days),CSX + Long,"HC  CSX) n = 26,  15 female, 27.12 +=7.32 years old, sex, age, and education-matched + Long) n = 15 (10F, 27.47 +- 8.52 years)",3 Tesla Siemens Trio scanner,unfound,2000 ms,150 volumes,unfound,150,AFNI,no,yes,yes,yes,,"spatially registered in both two‐ and three‐dimensional space to minimize effects of head motion, temporally interpolated to correct for slice‐time acquisition differences, and despiked using the AFNI software package + regression analysis to remove potential noise sources, 10mm Gaussian kernel after Pearson's correlation coeeficients converted to Fisher's z",,funectional connectivity,"seed- based, seeds placed in rACC and PCC for DMN, and seeds in inferior parietal lobule and lateral prefrontal cortex for TRN",DMN and fronto-parietal task related network,"Decreased BOLD  conn within DMN, hyperconn between rACC and lateral preforntal cortical areas, hyperconn between right prefrontal cortex, posterior parietal cortex. Functional conn predicted cognitive complaints.","emotional, cognitive, somatic complaints",,,Seems that the longitudinal portion of the study didn't produce significant results?,
22,21,"Rajesh (2017) Iowa City, Iowa",Decreased resting state functional activity in the 1–10 years post-injury mTBI group in the combined right frontal pole and anterior prefrontal cortex region relative to controls . (DMN),"CIVILIAN CRR-mTBI individuals (cognitively resolved remote mTBI, individuals who had a TBI but whose cognitive symptoms resolved on their own quickly)",Mild,ADULT n = 22 (12 mTBI (1-10 years since injury): avg 22.42 years old and 10 mTBi (20-65 years since injury): avg 52.90 years old),Chronic (1-many years after),CSX,"HC  n = 21, age + gender + education matched",Siemens Trio 3 Tesla full body magnet,closed,2000 ms,2 x 2.5 min,300,150,"FSL, AFNI, MATLAB, Freesurfer (structural)",no,yes,yes,yes,"2 x 2.5 min, eyes closed","Raw DICOM images were converted to NIfTI format using FreeSurfer's mri_convert tool and reoriented to RPI orientation with FSL's fslorient. FSL's BET (Brain Extraction Technique) algorithm was then used to strip voxels containing non-brain tissue from the high-resolution T1 structural images.23 Next, echo-planar imaging (EPI) data were motion corrected using AFNI's 3dvolreg function, which produced six parameters of head motion. The motion-corrected EPI data were spatially smoothed using a full width at half maximum 6.0 mm Gaussian kernel.","FSL 5.0.4, AFNI< MATLAB",FC,"seed-based (seeds in rACC and PCC:  (12-mm spheres in the rACC [MNI 0, 49, 9], and PCC [MNI 0, −47, 33]). )",DMN,"PCC region in healthy controls showed significantly greater correlation with the right frontal pole/anterior prefrontal cortex relative to mTBI1–10 ([36,54,18]; peak z-value = 3.37; p < 0.05 cluster corrected; Fig. 1). In secondary analysis within the combined group of mTBI (n = 22), age at last injury did not correlate with magnitude of functional activation within the right frontal pole (r = −0.20; p = 0.38). ",cognitive tasks performed,"In sum, our results indicate that brain architectural changes in mTBI may be long-term and related to functional reorganization. Specifically, these long-term brain changes are associated with both structural and functional deficits in the right frontal pole. We theorize that these deficits relate to impairments in specific socio-emotional processes that may also interfere with cognitive functioning, as in the case of chronic mTBI.",,,DF
,,,There were no differences in resting state functional activation for the 20–65 years post-injury mTBI group relative to healthy controls. (DMN),,,,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,
21,23,Sharp (2011) UK?,Increased DMN FC (Patients with highest FC had the least cognitive impairment). Lower DMN FC was seen in those patients with more evidence of diffuse axonal injury,CIVILIAN recurring symptoms,All,"ADULT 21, mean age: 37.57 ± 10.19 (16 male)",Chronic  (>6 months),CSX,"HC •Resting State) n = 23(12 M, mean age 35.2 ± 10.5, range: 20-58)   •Reference Networks) n = 19 (12 M, mean age 24.5 ± 2.75, age-range 21-30)    •DTI and Task-Based used separate controls as well","MRI data were obtained using a Philips (Best, The Netherlands) Intera 3.0 Tesla MRI scanner using Nova Dual gradients, a phased array head coil, and sensitivity encoding (SENSE) with an under-sampling factor of 2. Functional MRI images were obtained using a T2*-weighted gradient-echo echoplanar imaging (EPI) sequence with whole-brain coverage (TR/TE = 2000/30; 31 ascending slices with thickness 3.25 mm, gap 0.75 mm, voxel size 2.5×2.5×5 mm, flip angle 90°, field of view 280×220×123 mm, matrix 112×87).",closed,2000 ms,600 s,600,300,FSL,unfound,unfound,unfound,unfound,"closed, 10 min",,FMRIB Software Library,connectivity,ICA + Dual Regression,"DMN, frontoparietal, executive, visual, sensorimotor  generated from unique set of controls + ICA","TBI Patients demonstrate increased DMN connectivity at rest (PCC and preciuneus to rest of DMN.  Greater DMN conn correlated w/ fewer symptoms, less axonal damage.",Greater PCC <-> conn linked to faster reaction times + greater reported anxiety,"Increased DMN conn at rest in TBI patients is correlated with fewer symptoms and less damage as measured by DTI analysis, and therefore might be a compensatory response.","They mentioned the specific types of injury as determined by a neuroradiologist across the TBi sample: ""On initial CT imaging 11 patients had evidence of cerebral contusions, 10 had diffuse brain swelling, seven had skull fractures, six had either subdural or extradural haemorrhage, six had either intraventricular or subarachnoid haemorrhage and one patient had evidence of early hydrocephalus that was subsequently resolved.""",,
9,15,"Iraji (2015) Michigan, USA",Decreased conn in DMN in mTBI. [Decrease in # of associated voxels in PCC/precuneus regions of DMN (from gICA).,CIVILIAN mild TBI individuals from the ED,Mild,"ADULT n=12, Mage: 38 +– 17, 6 females",Acute (3h-7days),CSX,"HC healthy control subjects) n=16, Mage:  33 +– 13, 7 females",3-Tesla Siemens Verio,closed,2000 ms,480 s,480,240,FSL,no,no,yes,yes,"Eyes closed, 8 mins","First, the first five volumes were discarded to reach magnetization equilibrium. A highpass temporal filtering (100 sec), motion correction, slice timing, brain extraction, and spatial smoothing (full width at half maximum = 6 mm) were applied. Grand mean scaling was also applied to the entire 4-dimensional data for each subject. The data were registered to the Montreal Neurological Institute standard space using nonlinear registration with 10 mm warp resolution and resampled to 3 mm isotropic voxel size. Variance normalization was used to rescale each time series. No intensity normalization was performed to prevent false anticorrelation",FSL,Connectivity,ICA (group and individual) + Seed-based,"ICA: DMN, BGN; SBA: PCC,
thalamus, amygdala, and hippocampus","Both group-based and individual-based independent component analysis of resting-state fMRI (rsfMRI) demonstrated reduced functional connectivity in both posterior cingulate cortex (PCC) and precuneus regions in comparison with controls. Further seed-based analysis confirmed reduced functional connectivity in these two regions and also demonstrated increased connectivity between these regions and other regions of the brain in mTBI. Seedbased analysis using the thalamus, hippocampus, and amygdala regions further demonstrated increased functional connectivity between these regions and other regions of the brain, particularly in the frontal lobe, in mTBI.",,"The study demonstrated multinetwork alterations in mTBI at the acute stage, including decreased intranetwork connectivity and increased internetwork connectivity of the DMN and amygdala network as well as changes in the thalamus and hippocampus networks.",Proposed an atlas-based ICA,,
,,,Similar decrease in voxel dependency PCC/precuneus <-> DMN (from individual ICA)],,,,Acute,,,,,,,,,,,,,,,,,,,,,,,,,
68,19,"van der Horn (2019) Groningen, Netherlands",No signficant difference for DMN at time point 1,CIVILIAN prospectively enrolled from lv. 1 trauma center in Netherlands,Mild/Moderate,"ADULT n = 68, avg 44.3 (range 22-61), 60% male    (GCS: 63 mild, 5 mod)",Subacute (22-69 days),CSX + Long (93% of patients stayed for long),HC healthy controls,"3 Tesla Philips Intera Achieva MRI‐scanner (Philips Medical Systems, Best, The Netherlands)",closed,2000 ms,unfound,unfound,unfound,SPM12,unfound,unfound,unfound,unfound,closed eyes,"Volumes were reoriented to the AC, slice time corrected, realigned, coregistered to the T1‐anatomical image, normalized to the Montreal Neurological Institute (MNI) space using an echo planar imaging (EPI)‐template (3 × 3 × 3 mm isotropic voxels) (Calhoun et al., 2017), and smoothed using a 8 mm full width at half maximum (FWHM) kernel. The first five volumes were discarded to account for lack of T1‐equilibrium. Before smoothing, voxel time courses were orthogonalized with respect to the six realignment parameters, their derivatives, and to linear, quadratic, and cubic trends",SPM12,Static and Dynamic FC,"ROItoROI for static, dynamic: windowed correlation matrices","48 RSNs defined by their ICA. 9 domains: subcortical, cerebellum, auditory, sensorimotor, visual, salience, default mode, execute control, and language","patients with incomplete recovery spent less time in a dynamic brain state that was characterized by the presence of two main functional subdomains, one for sensory and motor function, and one for higher cognitive processing. Furthermore, they exhibited fewer shifts between dynamic brain states, and had more chaotic attractor dynamics. Dynamic results are super complicated, 3rd paragraph of discussion summary: ""Cluster analyses showed that patients with incomplete recovery spend less time in the segregated dynamic brain state two. The corresponding attractor A was also found to be disrupted, with cross‐transitions from attractor A to B (Figure 7). Dynamic brain state one and two were characterized by high connectivity within the sensorimotor, auditory and visual domains on the one hand, and within the salience, default mode, and executive domains on the other, with anti‐correlations between these two. Interestingly, our static functional connectivity results also pointed toward a reduction in segregation of these anti‐correlated network domains in patients with incomplete recovery at trend level. Altogether, these findings suggest a shift toward more interconnected brain dynamics, which could reflect adaptive processes, or at least processes that are aimed at adaptation. ""","neural basis of functional outcome, measured by Glasgow Outcome Scale Extended (GOS-E) @ 6  months post-injuruy.",,No hyperlink.,,DF
,,,No signficant difference for DMN at time point 2,,,,Subacute/Chronic (61-207 days),,,,,,,,,,,,,,,,,,,,,,,,,
19,15,"De Simoni (2016) London, UK",Increased FC PCC <-> precunues + lateral parietal regions in PTA group compared to HC (DMN),"CIVILIAN ""Nineteen patients with a recent history of TBI were recruited from the Major Trauma Ward, St Mary’s Hospital, London, UK""",Moderate/Severe,"ADULT 2 groups based on performance on PAL task
PTA group - n=11, mean age 40; 28-61
TBI control group n=8, mean age 37; 27-60",Acute/Subacute (1-13 days),CSX + Long,"HC healthy controls n=17; mean age 31.1, 19-49","3.0 T GE medical systems scanner, 8-channel head coil",open,2000 ms,420 s,420,210,FSL,no,yes,yes,yes,"7 minutes, eyes open","rigit body realignment, spatial smoothing using gaussian kernal, MNI using FLIRT, data denoising (1. temporal freq filtering 2. regression of six motion parameters 3. CSF and WM signal",FMRIB software library,functional connectivity,"dual regression, seed-based","DMN, MTL","connectivity of PCC to rest of DMN - healthy controls demonstrated typical pattern of functional connectivity, including DMN areas such as the precuneus and vmPFC, this pattern was not apparent in TBI patient groups. PTA patients vs. TBI control showed sig increased functional connectivity from PCC to precuneus and lateral parietal parts of the DMN. PCC to vmPFC trended to be abnormally low compared to controls, did not survive correction for multiple comparisons. no specific change in DMN connectivity over time.","TBI controls show no difference in fconn btwn PCC and parahippocampus compared to healthy controls. PTA group showed sig reduced PCC to MTL connectivity. At follow-up, PTA group showed a trend toward normalization of parahyippocampus fconn. 
parahippocampal fconn correlates with memory function - decreased connectivity btwn PCC and parahippocampus was associated with increasing impairments in associative memory. differences in parahippocampal connectivity were significantly correlated with performance on PAL task across all subjects. Also correlated with signficant decreased reaction times on pattern recognition memory performance, (not sig) spatial working memory performance, and (not sig) immediate verbal recognition memory. ",,,,
,,,No Diff FC PCC <-> vmFPC in PTA and TBI control patients compared to HC (DID NOT SURVIVE CORRECTION FOR MULTIPLE COMP),,,,Acute/Subacute,,,,,,,,,,,,,,,,,,,,,,,,,
